id,CIE_10_Id,CIE10_DESC
1,A00,Cólera
2,A00.0,"Cólera debido a Vibrio cholerae 01, biotipo cholerae "
3,A00.1,"Cólera debido a Vibrio cholerae 01, biotipo el Tor "
4,A00.9,"Cólera, no especificado "
5,A01,Fiebres tifoidea y paratifoidea
6,A01.0,Fiebre tifoidea 
7,A01.1,Fiebre paratifoidea A 
8,A01.2,Fiebre paratifoidea B 
9,A01.3,Fiebre paratifoidea C 
10,A01.4,"Fiebre paratifoidea, no especificada "
11,A02,Otras infecciones por salmonella
12,A02.0,Enteritis debida a Salmonella 
13,A02.1,Sepsis debida a Salmonella 
14,A02.2,Infecciones localizadas debidas a Salmonella 
15,A02.8,Otras infecciones especificadas como debidas a Salmonella 
16,A02.9,"Infección debida a Salmonella, no especificada "
17,A03,Shigelosis
18,A03.0,Shigelosis debida a Shigella dysenteriae 
19,A03.1,Shigelosis debida a Shigella flexneri 
20,A03.2,Shigelosis debida a Shigella boydii 
21,A03.3,Shigelosis debida a Shigella sonnei 
22,A03.9,Shigelosis de tipo no especificado 
23,A04,Otras infecciones intestinales bacterianas
24,A04.0,Infección debida a Escherichia coli enteropatógena 
25,A04.1,Infección debida a Escherichia coli enterotoxígena 
26,A04.2,Infección debida a Escherichia coli enteroinvasiva 
27,A04.3,Infección debida a Escherichia coli enterohemorrágica 
28,A04.4,Otras infecciones intestinales debidas a Escherichia coli 
29,A04.5,Enteritis debida a Campylobacter 
30,A04.6,Enteritis debida a Yersinia enterocolitica 
31,A04.7,Enterocolitis debida a Clostridium difficile 
32,A04.8,Otras infecciones intestinales bacterianas especificadas 
33,A04.9,"Infección intestinal bacteriana, no especificada "
34,A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte"
35,A05.0,Intoxicación alimentaria estafilocócica 
36,A05.1,Botulismo 
37,A05.2,Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii] 
38,A05.3,Intoxicación alimentaria debida a Vibrio parahaemolyticus 
39,A05.4,Intoxicación alimentaria debida a Bacillus cereus 
40,A05.8,Otras intoxicaciones alimentarias debidas a bacterias especificadas 
41,A05.9,"Intoxicación alimentaria bacteriana, no especificada "
42,A06,Amebiasis
43,A06.0,Disentería amebiana aguda 
44,A06.1,Amebiasis intestinal crónica 
45,A06.2,Colitis amebiana no disentérica 
46,A06.3,Ameboma intestinal 
47,A06.4,Absceso amebiano del hígado 
48,A06.5,Absceso amebiano del pulmón 
49,A06.6,Absceso amebiano del cerebro 
50,A06.7,Amebiasis cutánea 
51,A06.8,Infección amebiana de otras localizaciones 
52,A06.9,"Amebiasis, no especificada "
53,A07,Otras enfermedades intestinales protozoarias
54,A07.0,Balantidiasis 
55,A07.1,Giardiasis [lambliasis] 
56,A07.2,Criptosporidiosis 
57,A07.3,Isosporiasis 
58,A07.8,Otras enfermedades intestinales especificadas debidas a protozoarios 
59,A07.9,"Enfermedad intestinal debida a protozoarios, no especificada "
60,A08,Infecciones virales y otras infecciones intestinales especificadas
61,A08.0,Enteritis debida a rotavirus 
62,A08.1,Gastroenteropatía aguda debida al agente de Norwalk 
63,A08.2,Enteritis debida a adenovirus 
64,A08.3,Otras enteritis virales 
65,A08.4,"Infección intestinal viral, sin otra especificación "
66,A08.5,Otras infecciones intestinales especificadas 
67,A09,Otras gastroenteritis y colitis de origen infeccioso y no especificado
68,A09.0,Otras gastroenteritis y colitis de origen infeccioso  
69,A09.9,Gastroenteritis y colitis de origen no especificado  
70,A15,"Tuberculosis respiratoria, bacteriológica e histológicamente"
71,A15.0,"Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo "
72,A15.1,"Tuberculosis del pulmón, confirmada únicamente por cultivo "
73,A15.2,"Tuberculosis del pulmón, confirmada histológicamente "
74,A15.5,"Tuberculosis de laringe, traquea y bronquios, confirmada bacteriológica e histológicamente "
75,A15.6,"Pleuresía tuberculosa, confirmada bacteriológica e histológicamente "
76,A15.7,"Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente "
77,A15.9,"Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente "
78,A16,"Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente"
79,A16.0,"Tuberculosis del pulmón, con examen bacteriológico e histológico negativos "
80,A16.1,"Tuberculosis de pulmón, sin examen bacteriológico e histológico "
81,A16.2,"Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica "
82,A16.3,"Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica "
83,A16.4,"Tuberculosis de laringe, traquea y bronquios, sin mención de confirmación bacteriológica o histológica "
84,A16.5,"Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica "
85,A16.7,"Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica "
86,A16.8,"Otras tuberculosis respiratorias, sin mención de confirmación "
87,A16.9,"Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica "
88,A17,Tuberculosis del sistema nervioso
89,A17.0,Meningitis tuberculosa 
90,A17.1,Tuberculoma meníngeo 
91,A17.8,Otras tuberculosis del sistema nervioso 
92,A17.9,"Tuberculosis del sistema nervioso, no especificada "
93,A18,Tuberculosis de otros órganos
94,A18.0,Tuberculosis de huesos y articulaciones 
95,A18.1,Tuberculosis del aparato genitourinario 
96,A18.2,Linfadenopatía periférica tuberculosa 
97,A18.3,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos "
98,A18.4,Tuberculosis de la piel y el tejido subcutáneo 
99,A18.5,Tuberculosis del ojo 
100,A18.6,Tuberculosis del oído 
101,A18.7,Tuberculosis de glándulas suprarrenales 
102,A18.8,Tuberculosis de otros órganos especificados 
103,A19,Tuberculosis Miliar
104,A19.0,Tuberculosis miliar aguda de un solo sitio especificado 
105,A19.1,Tuberculosis miliar aguda de sitios múltiples 
106,A19.2,"Tuberculosis miliar aguda, no especificada "
107,A19.8,Otras tuberculosis miliares 
108,A19.9,"Tuberculosis miliar, sin otra especificación "
109,A20,Peste
110,A20.0,Peste bubónica 
111,A20.1,Peste celulocutánea 
112,A20.2,Peste neumónica 
113,A20.3,Meningitis por peste 
114,A20.7,Peste septicémica 
115,A20.8,Otras formas de peste 
116,A20.9,"Peste, no especificada "
117,A21,Tularemia
118,A21.0,Tularemia ulceroglandular 
119,A21.1,Tularemia oculoglandular 
120,A21.2,Tularemia pulmonar 
121,A21.7,Tularemia generalizada 
122,A21.8,Otras formas de tularemia 
123,A21.9,"Tularemia, no especificada "
124,A22,Antrax
125,A22.0,Carbunco cutáneo 
126,A22.1,Carbunco pulmonar 
127,A22.2,Carbunco gastrointestinal 
128,A22.7,Carbunco séptico 
129,A22.8,Otras formas de carbunco 
130,A22.9,"Carbunco, no especificado "
131,A23,Brucelosis
132,A23.0,Brucelosis debida a Brucella melitensis 
133,A23.1,Brucelosis debida a Brucella abortus 
134,A23.2,Brucelosis debida a Brucella suis 
135,A23.3,Brucelosis debida a Brucella canis 
136,A23.8,Otras brucelosis 
137,A23.9,"Brucelosis, no especificada "
138,A24,Muermo y melioidosis
139,A24.0,Muermo 
140,A24.1,Melioidosis aguda y fulminante 
141,A24.2,Melioidosis subaguda y crónica 
142,A24.3,Otras melioidosis 
143,A24.4,"Melioidosis, no especificada "
144,A25,Fiebre por mordedura de rata
145,A25.0,Espirilosis 
146,A25.1,Estreptobacilosis 
147,A25.9,"Fiebre por mordedura de rata, no especificada "
148,A26,Erisipeloide
149,A26.0,Erisipeloide cutáneo 
150,A26.7,Sepsis por Erysipelothrix 
151,A26.8,Otras formas de erisipeloide 
152,A26.9,"Erisipeloide, no especificada "
153,A27,Leptospirosis
154,A27.0,Leptospirosis icterohemorrágica 
155,A27.8,Otras formas de leptospirosis 
156,A27.9,"Leptospirosis, no especificada "
157,A28,"Otras enfermedades bacterianas zoonóticas, no clasificadas en otra parte"
158,A28.0,Pasteurelosis 
159,A28.1,Enfermedad por rasguño de gato 
160,A28.2,Yersiniosis extraintestinal 
161,A28.8,"Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte "
162,A30,Lepra [enfermedad de Hansen]
163,A30.0,Lepra indeterminada 
164,A30.1,Lepra tuberculoide 
165,A30.2,Lepra tuberculoide limítrofe 
166,A30.3,Lepra limítrofe 
167,A30.4,Lepra lepromatosa limítrofe 
168,A30.5,Lepra lepromatosa 
169,A30.8,Otras formas de lepra 
170,A30.9,"Lepra, no especificada "
171,A31,Infecciones debidas a otras micobacterias
172,A31.0,Infecciones por micobacterias pulmonares 
173,A31.1,Infección cutánea por micobacterias 
174,A31.8,Otras infecciones por micobacterias 
175,A31.9,"Infección por micobacteria, no especificada "
176,A32,Listeriosis
177,A32.0,Listeriosis cutánea 
178,A32.1,Meningitis y meningoencefalitis listeriana 
179,A32.7,Sepsis listeriana 
