id,prestacion_Id_id,codCIE10_Id_id
1,NM180274,K07.6
2,NM180274,M02.0
3,NM180274,M02.2
4,NM180274,M05.0
5,NM180274,M05.3
6,NM180274,M05.8
7,NM180274,M05.9
8,NM180274,M06.0
9,NM180274,M06.1
10,NM180274,M06.4
11,NM180274,M06.9
12,NM180274,M07.4
13,NM180274,M08.0
14,NM180274,M08.2
15,NM180274,M08.3
16,NM180274,M08.8
17,NM180274,M08.9
18,NM180274,M12.3
19,NM180274,M13.0
20,NM180274,M13.8
21,NM180274,M13.9
22,NM180274,M45
23,NM180274,M46.1
24,NM180274,M46.9
25,NM180274,M70.0
26,NM180274,M70.4
27,NM180274,M70.5
28,NM180274,M79.0
29,NM010471,C41.2
30,NM010471,G55.0
31,NM010471,G55.1
32,NM010471,G55.2
33,NM010471,G57.0
34,NM010471,M46.08
35,NM010471,M46.09
36,NM010471,M50.0
37,NM010471,M50.1
38,NM010471,M50.2
39,NM010471,M50.3
40,NM010471,M50.8
41,NM010471,M50.9
42,NM010471,M51.0
43,NM010471,M51.1
44,NM010471,M51.2
45,NM010471,M51.3
46,NM010471,M51.4
47,NM010471,M51.8
48,NM010471,M51.9
49,NM010471,M54.1
50,NM010471,M54.10
51,NM010471,M54.12
52,NM010471,M54.14
53,NM010471,M54.15
54,NM010471,M54.16
55,NM010471,M54.17
56,NM010471,M54.19
57,NM010471,M54.2
58,NM010471,M54.22
59,NM010471,M54.3
60,NM010471,M54.39
61,NM010471,M54.4
62,NM010471,M54.49
63,NM010471,M54.5
64,NM010471,M54.56
65,NM010471,M54.58
66,NM010471,M54.59
67,NM010471,M54.6
68,NM010471,M54.64
69,NM010471,M54.84
70,NM010471,M54.86
71,NM010471,M54.88
72,NM010471,M54.89
73,NM010471,M54.94
74,NM010471,M54.99
75,NM010471,T91.1
76,NM010471,T91.2
77,NM010471,T91.3
78,NM010471,M41.94
79,NM010471,M41.96
80,NM010471,M42.04
81,NM010471,M42.05
82,NM010471,M42.09
83,NM010471,M42.19
84,NM010471,M43.01
85,NM010471,M43.02
86,NM010471,M43.04
87,NM010471,M43.06
88,NM010471,M43.07
89,NM010471,M43.09
90,NM010471,M43.10
91,NM010471,M43.12
92,NM010471,M43.15
93,NM010471,M43.16
94,NM010471,M43.17
95,NM010471,M43.19
96,NM010471,M43.21
97,NM010471,M43.22
98,NM010471,M43.23
99,NM010471,M43.24
